City	State	Year	Est. Population
Grove Hill town	Alabama	2014	1520
Grove Hill town	Alabama	2015	1504
Gurley town	Alabama	2010	801
Gurley town	Alabama	2011	801
Gurley town	Alabama	2012	798
Gurley town	Alabama	2013	795
Gurley town	Alabama	2014	796
Gurley town	Alabama	2015	791
Gu-Win town	Alabama	2010	176
Gu-Win town	Alabama	2011	176
Gu-Win town	Alabama	2012	176
Gu-Win town	Alabama	2013	175
Gu-Win town	Alabama	2014	173
Gu-Win town	Alabama	2015	173
Hackleburg town	Alabama	2010	1516
Hackleburg town	Alabama	2011	1517
Hackleburg town	Alabama	2012	1513
Hackleburg town	Alabama	2013	1503
Hackleburg town	Alabama	2014	1490
Hackleburg town	Alabama	2015	1489
Haleburg town	Alabama	2010	103
Haleburg town	Alabama	2011	103
Haleburg town	Alabama	2012	103
Haleburg town	Alabama	2013	102
Haleburg town	Alabama	2014	101
Haleburg town	Alabama	2015	101
Hammondville town	Alabama	2010	488
Hammondville town	Alabama	2011	488
Hammondville town	Alabama	2012	488
Hammondville town	Alabama	2013	483
Hammondville town	Alabama	2014	481
Hammondville town	Alabama	2015	486
Harpersville town	Alabama	2010	1651
Harpersville town	Alabama	2011	1656
Harpersville town	Alabama	2012	1659
Harpersville town	Alabama	2013	1669
Harpersville town	Alabama	2014	1676
Harpersville town	Alabama	2015	1679
Hayden town	Alabama	2010	1333
Hayden town	Alabama	2011	1334
Hayden town	Alabama	2012	1340
Hayden town	Alabama	2013	1343
Hayden town	Alabama	2014	1341
Hayden town	Alabama	2015	1340
Hayneville town	Alabama	2010	933
Hayneville town	Alabama	2011	932
Hayneville town	Alabama	2012	919
Hayneville town	Alabama	2013	897
Hayneville town	Alabama	2014	886
Hayneville town	Alabama	2015	872
Heath town	Alabama	2010	256
Heath town	Alabama	2011	256
Heath town	Alabama	2012	258
Heath town	Alabama	2013	257
Heath town	Alabama	2014	257
Heath town	Alabama	2015	258
Highland Lake town	Alabama	2010	412
Highland Lake town	Alabama	2011	414
Highland Lake town	Alabama	2012	418
Highland Lake town	Alabama	2013	419
Highland Lake town	Alabama	2014	422
Highland Lake town	Alabama	2015	422
Hillsboro town	Alabama	2010	547
Hillsboro town	Alabama	2011	547
Hillsboro town	Alabama	2012	541
Hillsboro town	Alabama	2013	534
Hillsboro town	Alabama	2014	530
Hillsboro town	Alabama	2015	526
Hobson City town	Alabama	2010	771
Hobson City town	Alabama	2011	770
Hobson City town	Alabama	2012	763
Hobson City town	Alabama	2013	761
Hobson City town	Alabama	2014	762
Hobson City town	Alabama	2015	765
Hodges town	Alabama	2010	286
Hodges town	Alabama	2011	286
Hodges town	Alabama	2012	286
Hodges town	Alabama	2013	285
Hodges town	Alabama	2014	284
Hodges town	Alabama	2015	284
Holly Pond town	Alabama	2010	798
Holly Pond town	Alabama	2011	799
Holly Pond town	Alabama	2012	799
Holly Pond town	Alabama	2013	797
Holly Pond town	Alabama	2014	801
Holly Pond town	Alabama	2015	805
Hollywood town	Alabama	2010	1000
Hollywood town	Alabama	2011	999
Hollywood town	Alabama	2012	999
Hollywood town	Alabama	2013	993
Hollywood town	Alabama	2014	989
Hollywood town	Alabama	2015	981
Horn Hill town	Alabama	2010	228
Horn Hill town	Alabama	2011	228
Horn Hill town	Alabama	2012	230
Horn Hill town	Alabama	2013	229
Horn Hill town	Alabama	2014	229
Horn Hill town	Alabama	2015	229
Hurtsboro town	Alabama	2010	550
Hurtsboro town	Alabama	2011	550
Hurtsboro town	Alabama	2012	550
Hurtsboro town	Alabama	2013	581
Hurtsboro town	Alabama	2014	597
Hurtsboro town	Alabama	2015	599
Hytop town	Alabama	2010	354
Hytop town	Alabama	2011	354
Hytop town	Alabama	2012	355
Hytop town	Alabama	2013	353
Hytop town	Alabama	2014	352
Hytop town	Alabama	2015	350
Ider town	Alabama	2010	723
Ider town	Alabama	2011	723
Ider town	Alabama	2012	724
Ider town	Alabama	2013	718
Ider town	Alabama	2014	716
Ider town	Alabama	2015	715
Jacksons' Gap town	Alabama	2010	823
Jacksons' Gap town	Alabama	2011	821
Jacksons' Gap town	Alabama	2012	818
Jacksons' Gap town	Alabama	2013	812
Jacksons' Gap town	Alabama	2014	809
Jacksons' Gap town	Alabama	2015	807
Kansas town	Alabama	2010	226
Kansas town	Alabama	2011	226
Kansas town	Alabama	2012	225
Kansas town	Alabama	2013	224
Kansas town	Alabama	2014	223
Kansas town	Alabama	2015	222
Kellyton town	Alabama	2010	217
Kellyton town	Alabama	2011	217
Kellyton town	Alabama	2012	210
Kellyton town	Alabama	2013	207
